,Tweet,Tweet tok,True label,Pred label
0,@USER As much fun as I can. Woke up with food poisoning or stomach flu. Been bugging me all day #tmi Almost done driving for the day,"['@USER', 'As', 'much', 'fun', 'as', 'I', 'can', '.', 'Woke', 'up', 'with', 'food', 'poisoning', 'or', 'stomach', 'flu', '.', 'Been', 'bugging', 'me', 'all', 'day', '#tmi', 'Almost', 'done', 'driving', 'for', 'the', 'day']",1,1
1,"I cant come into work today because I have food poisoning. I went out with the lads last night and we had a cheap curry, we all ended up ...","['I', 'cant', 'come', 'into', 'work', 'today', 'because', 'I', 'have', 'food', 'poisoning', '.', 'I', 'went', 'out', 'with', 'the', 'lads', 'last', 'night', 'and', 'we', 'had', 'a', 'cheap', 'curry', ',', 'we', 'all', 'ended', 'up', '.', '.', '.']",1,1
2,I think it was that waffle house that did it.. I need my lawyer bcuz if I got food poison its gonna be on n crackn,"['I', 'think', 'it', 'was', 'that', 'waffle', 'house', 'that', 'did', 'it', '.', '.', 'I', 'need', 'my', 'lawyer', 'bcuz', 'if', 'I', 'got', 'food', 'poison', 'its', 'gonna', 'be', 'on', 'n', 'crackn']",1,1
3,"@USER @USER that's not good, do you know what you ate to get food poisoning?","['@USER', '@USER', ""that's"", 'not', 'good', ',', 'do', 'you', 'know', 'what', 'you', 'ate', 'to', 'get', 'food', 'poisoning', '?']",1,1
4,Today was rough. Think I had a touch of food poisoning earlier. Thought I was gonna die. Yuck. Therabreath rinse & mints helped though! lol,"['Today', 'was', 'rough', '.', 'Think', 'I', 'had', 'a', 'touch', 'of', 'food', 'poisoning', 'earlier', '.', 'Thought', 'I', 'was', 'gonna', 'die', '.', 'Yuck', '.', 'Therabreath', 'rinse', '&', 'mints', 'helped', 'though', '!', 'lol']",1,1
5,Preventing Food Poisoning Outbreaks:Genome Sequencing Used To Assess A Novel Form Of C. Botulinum (MedNewToday)  HTTPURL #GAII,"['Preventing', 'Food', 'Poisoning', 'Outbreaks', ':', 'Genome', 'Sequencing', 'Used', 'To', 'Assess', 'A', 'Novel', 'Form', 'Of', 'C', '.', 'Botulinum', '(', 'MedNewToday', ')', 'HTTPURL', '#GAII']",0,0
6,"lmao RT @USER I've eaten off the streets in India & Bhutan, nothing, on a cruise ship - food poisoning twice! #TNI #YouNeverKnow","['lmao', 'RT', '@USER', ""I've"", 'eaten', 'off', 'the', 'streets', 'in', 'India', '&', 'Bhutan', ',', 'nothing', ',', 'on', 'a', 'cruise', 'ship', '-', 'food', 'poisoning', 'twice', '!', '#TNI', '#YouNeverKnow']",1,1
7,I think I have food poison poops & vomit [EMOJI_persevering_face] that damn subway,"['I', 'think', 'I', 'have', 'food', 'poison', 'poops', '&', 'vomit', '😣', 'that', 'damn', 'subway']",1,1
8,I think I got food poison from ABW [EMOJI_astonished_face][EMOJI_face_with_medical_mask][EMOJI_face_screaming_in_fear],"['I', 'think', 'I', 'got', 'food', 'poison', 'from', 'ABW', '😲', '😷', '😱']",1,1
9,"food poison !! i feel sick , NEVER AGAIN !!","['food', 'poison', '!', '!', 'i', 'feel', 'sick', ',', 'NEVER', 'AGAIN', '!', '!']",1,1
10,@USER definitely can't cook pasta #foodpoisoning,"['@USER', 'definitely', ""can't"", 'cook', 'pasta', '#foodpoisoning']",1,1
11,My tummy hurts like i have food poison and that's ah horrible feeling :/,"['My', 'tummy', 'hurts', 'like', 'i', 'have', 'food', 'poison', 'and', ""that's"", 'ah', 'horrible', 'feeling', ':', '/']",1,1
12,some haters came at me attempted to food poison me but let me make it clear that I'm still here And my  flow won't disappear. Check it.,"['some', 'haters', 'came', 'at', 'me', 'attempted', 'to', 'food', 'poison', 'me', 'but', 'let', 'me', 'make', 'it', 'clear', 'that', ""I'm"", 'still', 'here', 'And', 'my', 'flow', ""won't"", 'disappear', '.', 'Check', 'it', '.']",0,0
13,"@USER haha you feeling better? They was probably off, #FoodPoisoning","['@USER', 'haha', 'you', 'feeling', 'better', '?', 'They', 'was', 'probably', 'off', ',', '#FoodPoisoning']",1,1
14,"Just gettin over food poison, out of all the grimey places i eat at i get sick as fuck from a fancy ass steak place","['Just', 'gettin', 'over', 'food', 'poison', ',', 'out', 'of', 'all', 'the', 'grimey', 'places', 'i', 'eat', 'at', 'i', 'get', 'sick', 'as', 'fuck', 'from', 'a', 'fancy', 'ass', 'steak', 'place']",1,1
15,"@USER . . . .  They food gave me food poison almost killed me,  I sued them bitches too","['@USER', '.', '.', '.', '.', 'They', 'food', 'gave', 'me', 'food', 'poison', 'almost', 'killed', 'me', ',', 'I', 'sued', 'them', 'bitches', 'too']",1,1
16,"Fuk u @USER Swanson st, sickest I've been in 15 years! #foodpoisoning #stomachbilespew #neveragain","['Fuk', 'u', '@USER', 'Swanson', 'st', ',', 'sickest', ""I've"", 'been', 'in', '15', 'years', '!', '#foodpoisoning', '#stomachbilespew', '#neveragain']",1,1
17,@USER I got a 101 fever too.. #foodpoisoning,"['@USER', 'I', 'got', 'a', '101', 'fever', 'too', '.', '.', '#foodpoisoning']",1,1
18,Possibly shouldn't have had that last oyster. 17 is my limit. #foodpoisoning,"['Possibly', ""shouldn't"", 'have', 'had', 'that', 'last', 'oyster', '.', '17', 'is', 'my', 'limit', '.', '#foodpoisoning']",1,1
19,Lord please let this cup pass . #stomachache [EMOJI_weary_face][EMOJI_tired_face][EMOJI_confounded_face],"['Lord', 'please', 'let', 'this', 'cup', 'pass', '.', '#stomachache', '😩', '😫', '😖']",0,0
20,I'm actually dying! #foodpoisoning  HTTPURL,"[""I'm"", 'actually', 'dying', '!', '#foodpoisoning', 'HTTPURL']",1,1
21,I got food poisoning off an Italian dessert. I've a good mind to tiramisu that company.,"['I', 'got', 'food', 'poisoning', 'off', 'an', 'Italian', 'dessert', '.', ""I've"", 'a', 'good', 'mind', 'to', 'tiramisu', 'that', 'company', '.']",1,1
22,"One in five office coffee mugs contains fecal bacterial and E.coli, which can cause diarrhea, food poisoning, and infections. #corefact","['One', 'in', 'five', 'office', 'coffee', 'mugs', 'contains', 'fecal', 'bacterial', 'and', 'E', '.', 'coli', ',', 'which', 'can', 'cause', 'diarrhea', ',', 'food', 'poisoning', ',', 'and', 'infections', '.', '#corefact']",0,0
23,This Dominos has made me feel sick #brilliant #foodpoisoning,"['This', 'Dominos', 'has', 'made', 'me', 'feel', 'sick', '#brilliant', '#foodpoisoning']",1,1
24,Cheddars gave me food poisoning. I feel like I'm about to puke. [EMOJI_disappointed_face],"['Cheddars', 'gave', 'me', 'food', 'poisoning', '.', 'I', 'feel', 'like', ""I'm"", 'about', 'to', 'puke', '.', '😞']",1,1
25,"@USER I got food poisoning off chicken once, wouldn't wish it on anyone very unpleasant indeed. Lost about a stone in 3 days though!","['@USER', 'I', 'got', 'food', 'poisoning', 'off', 'chicken', 'once', ',', ""wouldn't"", 'wish', 'it', 'on', 'anyone', 'very', 'unpleasant', 'indeed', '.', 'Lost', 'about', 'a', 'stone', 'in', '3', 'days', 'though', '!']",1,1
26,ALRIGHT I EITHER GOT FOOD POISONING OR DEHYDRATION OR SOMETHING BUT I FEEL TILTED. ANYWAY RIGHT ON ALGERIE,"['ALRIGHT', 'I', 'EITHER', 'GOT', 'FOOD', 'POISONING', 'OR', 'DEHYDRATION', 'OR', 'SOMETHING', 'BUT', 'I', 'FEEL', 'TILTED', '.', 'ANYWAY', 'RIGHT', 'ON', 'ALGERIE']",1,1
27,@USER @USER i on the other hand hope karma gives you food poisoning over night and you spend your day off puking your load,"['@USER', '@USER', 'i', 'on', 'the', 'other', 'hand', 'hope', 'karma', 'gives', 'you', 'food', 'poisoning', 'over', 'night', 'and', 'you', 'spend', 'your', 'day', 'off', 'puking', 'your', 'load']",0,0
28,This food poisoning is critical [EMOJI_confused_face] couldn't even go to TNC today,"['This', 'food', 'poisoning', 'is', 'critical', '😕', ""couldn't"", 'even', 'go', 'to', 'TNC', 'today']",1,1
29,Merry Christmas to me I have food poisoning [EMOJI_grinning_face_with_smiling_eyes] [EMOJI_unamused_face][EMOJI_unamused_face][EMOJI_unamused_face],"['Merry', 'Christmas', 'to', 'me', 'I', 'have', 'food', 'poisoning', '😄', '😒', '😒', '😒']",1,1
