,Tweet,Tweet tok,True label,Pred label
0,Food poisoning in Mandeville  HTTPURL,"['Food', 'poisoning', 'in', 'Mandeville', 'HTTPURL']",0,1
1,bel bev dabo food poison:  HTTPURL via @USER,"['bel', 'bev', 'dabo', 'food', 'poison', ':', 'HTTPURL', 'via', '@USER']",0,1
2,Douno why my mum trusts me cooking the dinner..#foodpoisoning #notrust,"['Douno', 'why', 'my', 'mum', 'trusts', 'me', 'cooking', 'the', 'dinner', '.', '.', '#foodpoisoning', '#notrust']",0,1
3,"{Me,My Gist and I} A Couple Died of Food Poison in Rivers  HTTPURL ....","['{Me', ',', 'My', 'Gist', 'and', 'I}', 'A', 'Couple', 'Died', 'of', 'Food', 'Poison', 'in', 'Rivers', 'HTTPURL', '.', '.', '.', '.']",0,1
4,"on top of all my pain, I feel like I have food poison [EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask][EMOJI_face_with_medical_mask]","['on', 'top', 'of', 'all', 'my', 'pain', ',', 'I', 'feel', 'like', 'I', 'have', 'food', 'poison', '😷', '😷', '😷', '😷', '😷', '😷', '😷']",0,1
5,"Don't. Food poisoning jo. ""@USER I want a cold something, but the way that wine in the fridge is set [EMOJI_pensive_face]""","[""Don't"", '.', 'Food', 'poisoning', 'jo', '.', '""', '@USER', 'I', 'want', 'a', 'cold', 'something', ',', 'but', 'the', 'way', 'that', 'wine', 'in', 'the', 'fridge', 'is', 'set', '😔', '""']",0,1
6,Is it the flu or food poisoning from meal hall? Wish I knew [EMOJI_loudly_crying_face],"['Is', 'it', 'the', 'flu', 'or', 'food', 'poisoning', 'from', 'meal', 'hall', '?', 'Wish', 'I', 'knew', '😭']",0,1
7,Chicken rice eatery #PowSing in #Serangoon Gardens suspended over #foodpoisoning#SGfood news   HTTPURL,"['Chicken', 'rice', 'eatery', '#PowSing', 'in', '#Serangoon', 'Gardens', 'suspended', 'over', '#foodpoisoning#SGfood', 'news', 'HTTPURL']",0,1
8,Curry lovers to receive huge payout after horrific food poisoning following a charity spice festival  HTTPURL  HTTPURL,"['Curry', 'lovers', 'to', 'receive', 'huge', 'payout', 'after', 'horrific', 'food', 'poisoning', 'following', 'a', 'charity', 'spice', 'festival', 'HTTPURL', 'HTTPURL']",0,1
9,Feeling like death[EMOJI_face_with_thermometer] def got some type of stomach flu or food poisoning someone please saveeee meeeee,"['Feeling', 'like', 'death', '🤒', 'def', 'got', 'some', 'type', 'of', 'stomach', 'flu', 'or', 'food', 'poisoning', 'someone', 'please', 'saveeee', 'meeeee']",0,1
10,Does Jacob have food poisoning again? Scared to wear the crown? He just doesn't look right.  HTTPURL,"['Does', 'Jacob', 'have', 'food', 'poisoning', 'again', '?', 'Scared', 'to', 'wear', 'the', 'crown', '?', 'He', 'just', ""doesn't"", 'look', 'right', '.', 'HTTPURL']",0,1
11,"""hey, this penn station sushi really isn't half bad."" -a girl who will have food poisoning in 2 hours","['""', 'hey', ',', 'this', 'penn', 'station', 'sushi', 'really', ""isn't"", 'half', 'bad', '.', '""', '-a', 'girl', 'who', 'will', 'have', 'food', 'poisoning', 'in', '2', 'hours']",0,1
12,"So last night, I broke a tooth, watched a girl throw up on two people, had to leave the part early because my ride had to leave and to top it off I think I got food poisoning... All with in the first hour.  BUT I refuse to let that get me down about the new year!  HTTPURL","['So', 'last', 'night', ',', 'I', 'broke', 'a', 'tooth', ',', 'watched', 'a', 'girl', 'throw', 'up', 'on', 'two', 'people', ',', 'had', 'to', 'leave', 'the', 'part', 'early', 'because', 'my', 'ride', 'had', 'to', 'leave', 'and', 'to', 'top', 'it', 'off', 'I', 'think', 'I', 'got', 'food', 'poisoning', '.', '.', '.', 'All', 'with', 'in', 'the', 'first', 'hour', '.', 'BUT', 'I', 'refuse', 'to', 'let', 'that', 'get', 'me', 'down', 'about', 'the', 'new', 'year', '!', 'HTTPURL']",0,1
13,"@USER Where's the fun in that? I'd rather select the lobster from its little tank and know that I lorded it to its death in the back kitchen while I haphazardly eat crackers as an appetizer because I got a shit palette and the scallions gave me food poisoning last time, too.","['@USER', ""Where's"", 'the', 'fun', 'in', 'that', '?', ""I'd"", 'rather', 'select', 'the', 'lobster', 'from', 'its', 'little', 'tank', 'and', 'know', 'that', 'I', 'lorded', 'it', 'to', 'its', 'death', 'in', 'the', 'back', 'kitchen', 'while', 'I', 'haphazardly', 'eat', 'crackers', 'as', 'an', 'appetizer', 'because', 'I', 'got', 'a', 'shit', 'palette', 'and', 'the', 'scallions', 'gave', 'me', 'food', 'poisoning', 'last', 'time', ',', 'too', '.']",1,0
14,@USER Don't.. got food poisoning from them [EMOJI_upside-down_face],"['@USER', ""Don't"", '.', '.', 'got', 'food', 'poisoning', 'from', 'them', ':upside:-down_face']",0,1
