,Tweet,True label,Pred label
0,@USER As much fun as I can. Woke up with food poisoning or stomach flu. Been bugging me all day #tmi Almost done driving for the day,1,1
1,"I cant come into work today because I have food poisoning. I went out with the lads last night and we had a cheap curry, we all ended up ...",1,1
2,I think it was that waffle house that did it.. I need my lawyer bcuz if I got food poison its gonna be on n crackn,1,1
3,Today was rough. Think I had a touch of food poisoning earlier. Thought I was gonna die. Yuck. Therabreath rinse & mints helped though! lol,1,1
4,Preventing Food Poisoning Outbreaks:Genome Sequencing Used To Assess A Novel Form Of C. Botulinum (MedNewToday)  HTTPURL #GAII,0,0
5,"lmao RT @USER I've eaten off the streets in India & Bhutan, nothing, on a cruise ship - food poisoning twice! #TNI #YouNeverKnow",1,1
6,I think I have food poison poops & vomit [EMOJI_persevering_face] that damn subway,1,1
7,I think I got food poison from ABW [EMOJI_astonished_face][EMOJI_face_with_medical_mask][EMOJI_face_screaming_in_fear],1,1
8,"food poison !! i feel sick , NEVER AGAIN !!",1,1
9,@USER definitely can't cook pasta #foodpoisoning,1,1
10,My tummy hurts like i have food poison and that's ah horrible feeling :/,1,1
11,some haters came at me attempted to food poison me but let me make it clear that I'm still here And my  flow won't disappear. Check it.,0,0
12,"@USER haha you feeling better? They was probably off, #FoodPoisoning",1,1
13,"Just gettin over food poison, out of all the grimey places i eat at i get sick as fuck from a fancy ass steak place",1,1
14,"@USER . . . .  They food gave me food poison almost killed me,  I sued them bitches too",1,1
15,"Fuk u @USER Swanson st, sickest I've been in 15 years! #foodpoisoning #stomachbilespew #neveragain",1,1
16,@USER I got a 101 fever too.. #foodpoisoning,1,1
17,Possibly shouldn't have had that last oyster. 17 is my limit. #foodpoisoning,1,1
18,Lord please let this cup pass . #stomachache [EMOJI_weary_face][EMOJI_tired_face][EMOJI_confounded_face],0,0
19,I'm actually dying! #foodpoisoning  HTTPURL,1,1
20,I got food poisoning off an Italian dessert. I've a good mind to tiramisu that company.,1,1
21,"One in five office coffee mugs contains fecal bacterial and E.coli, which can cause diarrhea, food poisoning, and infections. #corefact",0,0
22,This Dominos has made me feel sick #brilliant #foodpoisoning,1,1
23,Cheddars gave me food poisoning. I feel like I'm about to puke. [EMOJI_disappointed_face],1,1
24,"@USER I got food poisoning off chicken once, wouldn't wish it on anyone very unpleasant indeed. Lost about a stone in 3 days though!",1,1
25,ALRIGHT I EITHER GOT FOOD POISONING OR DEHYDRATION OR SOMETHING BUT I FEEL TILTED. ANYWAY RIGHT ON ALGERIE,1,1
26,This food poisoning is critical [EMOJI_confused_face] couldn't even go to TNC today,1,1
27,Merry Christmas to me I have food poisoning [EMOJI_grinning_face_with_smiling_eyes] [EMOJI_unamused_face][EMOJI_unamused_face][EMOJI_unamused_face],1,1
28,strange these days how I am starting to decide where to eat based on what places haven't given me food poisoning,0,0
29,Holy crap been throwing up since 3am. Think I have a fever. Is this food poison or some sort of stomach bug? Can't keep water down. [EMOJI_confounded_face],1,1
30,"Man, I can't remember the last time I felt this bad. Hope it's just food poisoning like I think it is.",1,1
31,Real Evidence! The Incredible Benefits of Organic Food #poison #organicfarms #evidence #casestudy #detox #organic  HTTPURL,0,0
32,My girlfriend and her entire family got food poisoning from dinner the other night but I did not...  HTTPURL,1,1
33,@USER [EMOJI_waving_hand_light_skin_tone][EMOJI_waving_hand_light_skin_tone] food poisoning!,1,1
34,@USER o/ just getting over food poisoning[EMOJI_loudly_crying_face].. My body is literally exhausted from crying all day yesterday! Hope you feel better!,1,1
35,Chicken rice eatery #PowSing in #Serangoon Gardens suspended over #foodpoisoning#SGfood news   HTTPURL,0,0
36,Grill like a PRO to avoid food poisoning! #FoodSafety #SummerHealth @USER @USER  HTTPURL  HTTPURL,0,0
37,I think I might have food poisoning [EMOJI_confused_face],1,1
38,Tweet when you vomit: It's your duty @USER research #norovirus & #foodpoisoning   HTTPURL,0,0
39,CAR clinches playoff berth with:  1) ATL + TB develop bad case of food poisoning 2) PIGS fly 3) HELL freezes over  HTTPURL,0,0
40,Our Office's #WorstGifts No.2: Grandma shipped me some homemade fruitcake that gave me food poisoning.  Couldn't eat for two days.,1,1
41,I love food so much and now that I got food poisoning I just feel so betrayed[EMOJI_sleepy_face],1,1
42,Curry lovers to receive huge payout after horrific food poisoning following a charity spice festival  HTTPURL  HTTPURL,0,0
43,I just got over having food poisoning or stomach virus and now here come these fucking cramps,1,1
44,thanks for the food poisoning @USER,1,1
45,"@USER @USER yeah man I'll be surprised if I do, not only did it give me food poisoning but it was also the wrong pizza",1,1
46,@USER less likely to get food poisoning too,0,0
47,"How chemists are helping us not get food poisoning: Borrowing concepts from medical diagnostic devices, they'v...  HTTPURL",0,0
48,99% sure I got food poisoning from that cookout yesterday,1,1
49,After our free ball game half the office is out sick! Yay food poisoning. Now to go home and pray for a swift death,1,1
50,@USER Thanks-same to you & your people. Compliance with food handling regulations is quite often poor & there is not the level of inspection going on 2 stop food poisoning outbreaks. Have a look at your local butcher/fish monger. Barriers should be in place between fresh & raw food.,0,0
51,"2018 update: I ate chicken that wasn't cooked properly and I'm pretty sure I have food poisoning, or, a small army of centipedes is digging through my insides and tearing everything in their path oh man",1,1
52,"I feel absolutely terrible. First I get food poisoning, and I guess I was catching a cold?? I've been sneezing and congested all day. Someone send cold medicine and tea",1,1
53,Is your New Year's resolution to lose weight? I'm selling pieces of the pizza that gave us food poisoning for $20 a slice. Get the “beach body” you've always wanted in 24 hours!,1,1
54,"bought $CMG weekly $320 puts at $4.78 average sold $8.39 w/10 contracts on food poisoning news +75% or +$over $3,500 on the trade up over $6k on the day all trades live in chat  HTTPURL $NSPR $IMMY $AKAIO $CALD $IMMR $HMNY $SDOW $CLF $AQ $CYTX $PE $EARS $VTGN",0,0
55,"Why do so many people on Dinner Date decide to attempt cooking something they've never made before? It's like HEY A STRANGER IS COMING FOR DINNER, MIGHT MAKE THEM BEEF WELLINGTON AND A SIDE OF FOOD POISONING",0,0
56,I have food poisoning and this is what i get from her [EMOJI_face_with_tears_of_joy]  HTTPURL,1,1
57,The latest FReshCategory Food Safety & Quality Daily!  HTTPURL #salmonella #foodpoisoning,0,0
